Algorithm,Input_Size,Input_Type,Time_Taken,Run
Quick,500,Random,0.0006901669839862734,3
Bubble,500,Sorted,0.011334792012348771,3
Insertion,500,Sorted,8.266698569059372e-05,3
Merge,500,Sorted,0.0008854579937178642,3
Quick,500,Sorted,0.0005217500147409737,3
Bubble,500,Reverse,0.03377966699190438,3
Insertion,500,Reverse,0.01693824998801574,3
Merge,500,Reverse,0.0008448750013485551,3
Quick,500,Reverse,0.0004841670161113143,3
Bubble,500,Nearly Sorted,0.01238491598633118,3
Insertion,500,Nearly Sorted,0.0012210829881951213,3
Merge,500,Nearly Sorted,0.0009057089919224381,3
Quick,500,Nearly Sorted,0.0005082919960841537,3
Bubble,500,Random,0.02130416699219495,4
Insertion,500,Random,0.0085074579983484,4
Merge,500,Random,0.0009387090103700757,4
Quick,500,Random,0.0006337499944493175,4
Bubble,500,Sorted,0.01074900000821799,4
Insertion,500,Sorted,7.054099114611745e-05,4
Merge,500,Sorted,0.0008357500191777945,4
Quick,500,Sorted,0.0004977500066161156,4
Bubble,500,Reverse,0.03519349999260157,4
Insertion,500,Reverse,0.017821416986407712,4
Merge,500,Reverse,0.0009112079860642552,4
Quick,500,Reverse,0.0005131250072736293,4
Bubble,500,Nearly Sorted,0.012397624988807365,4
Insertion,500,Nearly Sorted,0.0011329999833833426,4
Merge,500,Nearly Sorted,0.0009045000188052654,4
Quick,500,Nearly Sorted,0.0005367500125430524,4
Bubble,500,Random,0.02145937501336448,5
Insertion,500,Random,0.009111792023759335,5
Merge,500,Random,0.0010389999952167273,5
Quick,500,Random,0.0007006670057307929,5
Bubble,500,Sorted,0.011128207988804206,5
Insertion,500,Sorted,7.270800415426493e-05,5
Merge,500,Sorted,0.0008689159876666963,5
Quick,500,Sorted,0.0005076249944977462,5
Bubble,500,Reverse,0.033244417019886896,5
Insertion,500,Reverse,0.01713200000813231,5
Merge,500,Reverse,0.0008413750038016587,5
Quick,500,Reverse,0.0004829170065931976,5
Bubble,500,Nearly Sorted,0.011971750005614012,5
Insertion,500,Nearly Sorted,0.0010665000008884817,5
Merge,500,Nearly Sorted,0.0008734999864827842,5
Quick,500,Nearly Sorted,0.0005059590039309114,5
Bubble,1000,Random,0.08772312497603707,1
Insertion,1000,Random,0.03584154200507328,1
Merge,1000,Random,0.0019870840187650174,1
